delivery_from,english_wind_generated,scottish_wind_generated,total_wind_generated
2018-03-31 23:00:00+00:00,1680.06,614.578,2294.638
2018-03-31 23:30:00+00:00,1625.204,560.996,2186.2
2018-04-01 00:00:00+00:00,1446.452,514.734,1961.186
2018-04-01 00:30:00+00:00,1273.264,466.56,1739.824
2018-04-01 01:00:00+00:00,1387.798,387.37,1775.168
2018-04-01 01:30:00+00:00,1518.742,339.272,1858.014
2018-04-01 02:00:00+00:00,1578.12,296.536,1874.656
2018-04-01 02:30:00+00:00,1577.462,263.488,1840.95
2018-04-01 03:00:00+00:00,1523.086,264.544,1787.63
2018-04-01 03:30:00+00:00,1528.076,254.036,1782.112
2018-04-01 04:00:00+00:00,1494.1,251.468,1745.568
2018-04-01 04:30:00+00:00,1551.354,259.578,1810.932
2018-04-01 05:00:00+00:00,1461.224,285.622,1746.846
2018-04-01 05:30:00+00:00,1229.188,286.83,1516.018
2018-04-01 06:00:00+00:00,1096.856,265.56,1362.416
2018-04-01 06:30:00+00:00,976.822,219.83,1196.652
2018-04-01 07:00:00+00:00,886.766,193.022,1079.788
2018-04-01 07:30:00+00:00,804.494,170.468,974.962
2018-04-01 08:00:00+00:00,639.612,137.01,776.622
2018-04-01 08:30:00+00:00,491.73,126.984,618.714
2018-04-01 09:00:00+00:00,429.998,112.596,542.594
2018-04-01 09:30:00+00:00,358.762,111.836,470.598
2018-04-01 10:00:00+00:00,348.592,117.904,466.496
2018-04-01 10:30:00+00:00,387.316,110.888,498.204
2018-04-01 11:00:00+00:00,385.798,96.448,482.246
2018-04-01 11:30:00+00:00,374.11,77.288,451.398
2018-04-01 12:00:00+00:00,359.492,73.55,433.042
2018-04-01 12:30:00+00:00,354.052,97.26,451.312
2018-04-01 13:00:00+00:00,339.604,98.338,437.942
2018-04-01 13:30:00+00:00,338.02,112.978,450.998
2018-04-01 14:00:00+00:00,358.534,117.582,476.116
2018-04-01 14:30:00+00:00,410.458,82.97,493.428
2018-04-01 15:00:00+00:00,429.632,103.66,533.292
2018-04-01 15:30:00+00:00,470.844,120.604,591.448
2018-04-01 16:00:00+00:00,600.264,123.22,723.484
2018-04-01 16:30:00+00:00,767.724,116.898,884.622
2018-04-01 17:00:00+00:00,941.962,121.176,1063.138
2018-04-01 17:30:00+00:00,1096.412,155.378,1251.79
2018-04-01 18:00:00+00:00,1234.692,181.358,1416.05
