delivery_from,day_ahead_half_hourly_auction_price,imbalance_price
2018-01-01 00:00:00+00:00,46.73,55.94
2018-01-01 00:30:00+00:00,50.11,55.94
2018-01-01 01:00:00+00:00,56.6,62.94
2018-01-01 01:30:00+00:00,51.83,31
2018-01-01 02:00:00+00:00,46.23,60.81
2018-01-01 02:30:00+00:00,46.08,65
2018-01-01 03:00:00+00:00,38.9,67.86
2018-01-01 03:30:00+00:00,38.5,65.77
2018-01-01 04:00:00+00:00,23.41,64.02
2018-01-01 04:30:00+00:00,22.5,61.42
2018-01-01 05:00:00+00:00,20.78,59.65
2018-01-01 05:30:00+00:00,22.61,65
2018-01-01 06:00:00+00:00,28.96,65
2018-01-01 06:30:00+00:00,28.5,65
2018-01-01 07:00:00+00:00,30,65
2018-01-01 07:30:00+00:00,29.09,63.92
2018-01-01 08:00:00+00:00,23,18.17
2018-01-01 08:30:00+00:00,25.82,21.84
2018-01-01 09:00:00+00:00,42,55.94
2018-01-01 09:30:00+00:00,42,64.96
2018-01-01 10:00:00+00:00,47.89,62.42
2018-01-01 10:30:00+00:00,48,65
2018-01-01 11:00:00+00:00,42,66.03
2018-01-01 11:30:00+00:00,43.4,68
2018-01-01 12:00:00+00:00,50.92,68
2018-01-01 12:30:00+00:00,50.98,68
2018-01-01 13:00:00+00:00,55,69.9
2018-01-01 13:30:00+00:00,55,65
2018-01-01 14:00:00+00:00,54.82,36.84
2018-01-01 14:30:00+00:00,51,35.6
2018-01-01 15:00:00+00:00,50,38.87
2018-01-01 15:30:00+00:00,50,40.05
2018-01-01 16:00:00+00:00,56,38.18
2018-01-01 16:30:00+00:00,69.47,45.15
2018-01-01 17:00:00+00:00,74.1,40.08
2018-01-01 17:30:00+00:00,71.1,41.76
2018-01-01 18:00:00+00:00,59.47,38.41
2018-01-01 18:30:00+00:00,54.85,36.64
2018-01-01 19:00:00+00:00,50.89,59.95
2018-01-01 19:30:00+00:00,50.89,59.95
2018-01-01 20:00:00+00:00,50.89,39.07
2018-01-01 20:30:00+00:00,50.89,38.08
2018-01-01 21:00:00+00:00,50.54,38.31
2018-01-01 21:30:00+00:00,47.37,38
2018-01-01 22:00:00+00:00,43.46,33.52
2018-01-01 22:30:00+00:00,38.86,30.92
2018-01-01 23:00:00+00:00,33.96,28.08
2018-01-01 23:30:00+00:00,33.96,24.67
2018-01-02 00:00:00+00:00,44.88,23.06
2018-01-02 00:30:00+00:00,47.85,25
2018-01-02 01:00:00+00:00,50,22
2018-01-02 01:30:00+00:00,47,22
2018-01-02 02:00:00+00:00,45.59,28.22
2018-01-02 02:30:00+00:00,45.73,59.49
2018-01-02 03:00:00+00:00,45.88,65
2018-01-02 03:30:00+00:00,45.43,65
2018-01-02 04:00:00+00:00,44.98,62.5
2018-01-02 04:30:00+00:00,44.15,61.75
2018-01-02 05:00:00+00:00,45.35,62.52
2018-01-02 05:30:00+00:00,41.99,64.94
2018-01-02 06:00:00+00:00,52,64.94
2018-01-02 06:30:00+00:00,47,34.02
2018-01-02 07:00:00+00:00,42.85,30.07
2018-01-02 07:30:00+00:00,47.44,31.22
2018-01-02 08:00:00+00:00,54,31.5
2018-01-02 08:30:00+00:00,56,33.65
2018-01-02 09:00:00+00:00,72.92,35.51
